Date,Load_Power(kW)
5/1/2021,6.675
5/2/2021,6.579166667
5/3/2021,6.504166667
5/4/2021,6.770833333
5/5/2021,6.8375
5/6/2021,6.866666667
5/7/2021,6.841666667
5/8/2021,6.666666667
5/9/2021,6.541666667
5/10/2021,6.566666667
5/11/2021,7.041666667
5/12/2021,6.9875
5/13/2021,7.179166667
5/14/2021,6.841666667
5/15/2021,6.970833333
5/16/2021,6.766666667
5/17/2021,6.691666667
5/18/2021,6.925
5/19/2021,6.745833333
5/20/2021,6.7125
5/21/2021,6.595833333
5/22/2021,6.466666667
5/23/2021,6.179166667
5/24/2021,6.066666667
5/25/2021,6.208333333
5/26/2021,6.1
5/27/2021,6.2125
5/28/2021,6.25
5/29/2021,6.116666667
5/30/2021,6.1125
5/31/2021,6.008333333
6/1/2021,6.579166667
6/2/2021,6.504166667
6/3/2021,6.770833333
6/4/2021,6.8375
6/5/2021,6.866666667
6/6/2021,6.841666667
6/7/2021,6.666666667
6/8/2021,6.541666667
6/9/2021,6.566666667
6/10/2021,7.041666667
6/11/2021,6.9875
6/12/2021,7.179166667
6/13/2021,6.841666667
6/14/2021,6.970833333
6/15/2021,6.766666667
6/16/2021,6.691666667
6/17/2021,6.925
6/18/2021,6.745833333
6/19/2021,6.7125
6/20/2021,6.595833333
6/21/2021,6.466666667
6/22/2021,6.179166667
6/23/2021,6.066666667
6/24/2021,6.208333333
6/25/2021,6.1
6/26/2021,6.2125
6/27/2021,6.25
6/28/2021,6.116666667
6/29/2021,6.1125
6/30/2021,6.008333333
7/1/2021,6.675
7/2/2021,6.579166667
7/3/2021,6.504166667
7/4/2021,6.770833333
7/5/2021,6.8375
7/6/2021,6.866666667
7/7/2021,6.841666667
7/8/2021,6.666666667
7/9/2021,6.541666667
7/10/2021,6.566666667
7/11/2021,7.041666667
7/12/2021,6.9875
7/13/2021,7.179166667
7/14/2021,6.841666667
7/15/2021,6.970833333
7/16/2021,6.766666667
7/17/2021,6.691666667
7/18/2021,6.925
7/19/2021,6.745833333
7/20/2021,6.7125
7/21/2021,6.595833333
7/22/2021,6.466666667
7/23/2021,6.179166667
7/24/2021,6.066666667
7/25/2021,6.208333333
7/26/2021,6.1
7/27/2021,6.2125
7/28/2021,6.25
7/29/2021,6.116666667
7/30/2021,6.1125
7/31/2021,6.008333333
8/1/2021,6.675
8/2/2021,6.579166667
8/3/2021,6.504166667
8/4/2021,6.770833333
8/5/2021,6.8375
8/6/2021,6.866666667
8/7/2021,6.841666667
8/8/2021,6.666666667
8/9/2021,6.541666667
8/10/2021,6.566666667
8/11/2021,7.041666667
8/12/2021,6.9875
8/13/2021,7.179166667
8/14/2021,6.841666667
8/15/2021,6.970833333
8/16/2021,6.766666667
8/17/2021,6.691666667
8/18/2021,6.925
8/19/2021,6.745833333
8/20/2021,6.7125
8/21/2021,6.595833333
8/22/2021,6.466666667
8/23/2021,6.179166667
8/24/2021,6.066666667
8/25/2021,6.208333333
8/26/2021,6.1
8/27/2021,6.2125
8/28/2021,6.25
8/29/2021,6.116666667
8/30/2021,6.1125
8/31/2021,6.008333333
9/1/2021,6.579166667
9/2/2021,6.504166667
9/3/2021,6.770833333
9/4/2021,6.8375
9/5/2021,6.866666667
9/6/2021,6.841666667
9/7/2021,6.666666667
9/8/2021,6.541666667
9/9/2021,6.566666667
9/10/2021,7.041666667
9/11/2021,6.9875
9/12/2021,7.179166667
9/13/2021,6.841666667
9/14/2021,6.970833333
9/15/2021,6.766666667
9/16/2021,6.691666667
9/17/2021,6.925
9/18/2021,6.745833333
9/19/2021,6.7125
9/20/2021,6.595833333
9/21/2021,6.466666667
9/22/2021,6.179166667
9/23/2021,6.066666667
9/24/2021,6.208333333
9/25/2021,6.1
9/26/2021,6.2125
9/27/2021,6.25
9/28/2021,6.116666667
9/29/2021,6.1125
9/30/2021,6.008333333
10/1/2021,7.858333333
10/2/2021,7.808333333
10/3/2021,7.916666667
10/4/2021,8.004166667
10/5/2021,7.979166667
10/6/2021,7.691666667
10/7/2021,7.416666667
10/8/2021,7.9625
10/9/2021,7.991666667
10/10/2021,8.166666667
10/11/2021,8.266666667
10/12/2021,8.133333333
10/13/2021,7.783333333
10/14/2021,7.720833333
10/15/2021,8.208333333
10/16/2021,8.316666667
10/17/2021,8.033333333
10/18/2021,8.233333333
10/19/2021,8.2375
10/20/2021,8.354166667
10/21/2021,8.104166667
10/22/2021,8.4625
10/23/2021,6.066666667
10/24/2021,6.208333333
10/25/2021,6.1
10/26/2021,6.2125
10/27/2021,6.25
10/28/2021,6.116666667
10/29/2021,6.1125
10/30/2021,6.066666667
10/31/2021,6.208333333
11/1/2021,6.133333333
11/2/2021,6.4125
11/3/2021,6.7375
11/4/2021,6.8375
11/5/2021,7.0875
11/6/2021,6.845833333
11/7/2021,7.191666667
11/8/2021,7.858333333
11/9/2021,7.808333333
11/10/2021,7.916666667
11/11/2021,8.004166667
11/12/2021,7.979166667
