Date,Load_Power(kW)
12/1/2023 0:00,5.9
12/1/2023 1:00,5.7
12/1/2023 2:00,5.6
12/1/2023 3:00,5.6
12/1/2023 4:00,5.6
12/1/2023 5:00,5.9
12/1/2023 6:00,6.2
12/1/2023 7:00,6.5
12/1/2023 8:00,6.8
12/1/2023 9:00,7
12/1/2023 10:00,7.4
12/1/2023 11:00,7.4
12/1/2023 12:00,7.4
12/1/2023 13:00,7.2
12/1/2023 14:00,7.3
12/1/2023 15:00,7.6
12/1/2023 16:00,7.2
12/1/2023 17:00,6.8
12/1/2023 18:00,6.8
12/1/2023 19:00,6.9
12/1/2023 20:00,7
12/1/2023 21:00,7
12/1/2023 22:00,6.9
12/1/2023 23:00,6.5
12/2/2023 0:00,6
12/2/2023 1:00,5.8
12/2/2023 2:00,5.7
12/2/2023 3:00,5.7
12/2/2023 4:00,5.6
12/2/2023 5:00,5.9
12/2/2023 6:00,6.4
12/2/2023 7:00,6.6
12/2/2023 8:00,6.6
12/2/2023 9:00,6.9
12/2/2023 10:00,7
12/2/2023 11:00,6.9
12/2/2023 12:00,6.8
12/2/2023 13:00,7
12/2/2023 14:00,7
12/2/2023 15:00,7
12/2/2023 16:00,7
12/2/2023 17:00,6.7
12/2/2023 18:00,6.9
12/2/2023 19:00,7
12/2/2023 20:00,7.1
12/2/2023 21:00,7.2
12/2/2023 22:00,6.8
12/2/2023 23:00,6.3
12/3/2023 0:00,5.9
12/3/2023 1:00,5.7
12/3/2023 2:00,5.7
12/3/2023 3:00,5.7
12/3/2023 4:00,5.8
12/3/2023 5:00,5.9
12/3/2023 6:00,6.2
12/3/2023 7:00,6.3
12/3/2023 8:00,6.4
12/3/2023 9:00,6.5
12/3/2023 10:00,6.5
12/3/2023 11:00,6.7
12/3/2023 12:00,6.9
12/3/2023 13:00,7
12/3/2023 14:00,7
12/3/2023 15:00,6.9
12/3/2023 16:00,7
12/3/2023 17:00,7
12/3/2023 18:00,6.9
12/3/2023 19:00,7
12/3/2023 20:00,7.1
12/3/2023 21:00,7.1
12/3/2023 22:00,6.6
12/3/2023 23:00,6.3
12/4/2023 0:00,5.9
12/4/2023 1:00,5.8
12/4/2023 2:00,5.8
12/4/2023 3:00,5.6
12/4/2023 4:00,5.6
12/4/2023 5:00,5.9
12/4/2023 6:00,6.2
12/4/2023 7:00,6.8
12/4/2023 8:00,7.2
12/4/2023 9:00,7.6
12/4/2023 10:00,7.6
12/4/2023 11:00,7.5
12/4/2023 12:00,7.7
12/4/2023 13:00,7.4
12/4/2023 14:00,7.1
12/4/2023 15:00,7
12/4/2023 16:00,7
12/4/2023 17:00,7
12/4/2023 18:00,6.9
12/4/2023 19:00,7.1
12/4/2023 20:00,7.2
12/4/2023 21:00,7.3
12/4/2023 22:00,6.8
12/4/2023 23:00,6.5
12/5/2023 0:00,6.3
12/5/2023 1:00,6.1
12/5/2023 2:00,5.8
12/5/2023 3:00,5.8
12/5/2023 4:00,5.8
12/5/2023 5:00,6
12/5/2023 6:00,6.4
12/5/2023 7:00,6.9
12/5/2023 8:00,7.1
12/5/2023 9:00,7.5
12/5/2023 10:00,7.6
12/5/2023 11:00,7.6
12/5/2023 12:00,7.6
12/5/2023 13:00,7.5
12/5/2023 14:00,7.5
12/5/2023 15:00,7.5
12/5/2023 16:00,7.2
12/5/2023 17:00,6.8
12/5/2023 18:00,6.9
12/5/2023 19:00,7.2
12/5/2023 20:00,7.2
12/5/2023 21:00,7
12/5/2023 22:00,6.6
12/5/2023 23:00,6.2
12/6/2023 0:00,6
12/6/2023 1:00,5.9
12/6/2023 2:00,5.8
12/6/2023 3:00,5.7
12/6/2023 4:00,5.8
12/6/2023 5:00,6.1
12/6/2023 6:00,6.3
12/6/2023 7:00,6.9
12/6/2023 8:00,7.2
12/6/2023 9:00,7.5
12/6/2023 10:00,7.8
12/6/2023 11:00,7.9
12/6/2023 12:00,7.8
12/6/2023 13:00,7.7
12/6/2023 14:00,7.5
12/6/2023 15:00,7.1
12/6/2023 16:00,7
12/6/2023 17:00,7
12/6/2023 18:00,7.2
12/6/2023 19:00,7.2
12/6/2023 20:00,7.2
12/6/2023 21:00,6.8
12/6/2023 22:00,6.7
12/6/2023 23:00,6.7
12/7/2023 0:00,6.2
12/7/2023 1:00,5.9
12/7/2023 2:00,5.9
12/7/2023 3:00,5.7
12/7/2023 4:00,5.8
12/7/2023 5:00,6
12/7/2023 6:00,6.4
12/7/2023 7:00,6.8
12/7/2023 8:00,7.4
12/7/2023 9:00,7.5
12/7/2023 10:00,7.6
12/7/2023 11:00,7.7
12/7/2023 12:00,7.8
12/7/2023 13:00,7.4
12/7/2023 14:00,7.4
12/7/2023 15:00,7.2
12/7/2023 16:00,7.1
12/7/2023 17:00,6.9
12/7/2023 18:00,6.7
12/7/2023 19:00,7
12/7/2023 20:00,7.3
12/7/2023 21:00,7.3
12/7/2023 22:00,6.9
12/7/2023 23:00,6.3
12/8/2023 0:00,6.1
12/8/2023 1:00,5.7
12/8/2023 2:00,5.8
12/8/2023 3:00,5.6
12/8/2023 4:00,5.8
12/8/2023 5:00,5.9
12/8/2023 6:00,6.2
12/8/2023 7:00,6.7
12/8/2023 8:00,6.8
12/8/2023 9:00,7.3
12/8/2023 10:00,7.3
12/8/2023 11:00,7.3
12/8/2023 12:00,7.5
12/8/2023 13:00,7.4
12/8/2023 14:00,7.3
12/8/2023 15:00,7.2
12/8/2023 16:00,7
12/8/2023 17:00,6.7
12/8/2023 18:00,6.7
12/8/2023 19:00,7
12/8/2023 20:00,7.1
12/8/2023 21:00,6.8
12/8/2023 22:00,6.7
12/8/2023 23:00,6.1
12/9/2023 0:00,6
12/9/2023 1:00,5.7
12/9/2023 2:00,5.6
12/9/2023 3:00,5.7
12/9/2023 4:00,5.6
12/9/2023 5:00,5.9
12/9/2023 6:00,6.2
12/9/2023 7:00,6.4
12/9/2023 8:00,6.5
12/9/2023 9:00,6.6
12/9/2023 10:00,6.7
12/9/2023 11:00,6.7
12/9/2023 12:00,7
12/9/2023 13:00,7.1
12/9/2023 14:00,7.1
12/9/2023 15:00,7.2
12/9/2023 16:00,7
12/9/2023 17:00,6.9
12/9/2023 18:00,7
12/9/2023 19:00,7
12/9/2023 20:00,7.1
12/9/2023 21:00,7.1
12/9/2023 22:00,6.7
12/9/2023 23:00,6.2
12/10/2023 0:00,5.8
12/10/2023 1:00,5.7
12/10/2023 2:00,5.6
12/10/2023 3:00,5.7
12/10/2023 4:00,5.7
12/10/2023 5:00,5.9
12/10/2023 6:00,6.3
12/10/2023 7:00,6.4
12/10/2023 8:00,6.6
12/10/2023 9:00,6.6
12/10/2023 10:00,6.8
12/10/2023 11:00,7
12/10/2023 12:00,7.1
12/10/2023 13:00,7.1
12/10/2023 14:00,6.9
12/10/2023 15:00,7
12/10/2023 16:00,6.9
12/10/2023 17:00,6.9
12/10/2023 18:00,7
12/10/2023 19:00,7.2
12/10/2023 20:00,7.2
12/10/2023 21:00,7
12/10/2023 22:00,6.8
12/10/2023 23:00,6.4
12/11/2023 0:00,6
12/11/2023 1:00,5.8
12/11/2023 2:00,5.9
12/11/2023 3:00,5.9
12/11/2023 4:00,5.8
12/11/2023 5:00,6
12/11/2023 6:00,6.6
12/11/2023 7:00,7.2
12/11/2023 8:00,7.6
12/11/2023 9:00,8.3
12/11/2023 10:00,8.4
12/11/2023 11:00,8.3
12/11/2023 12:00,8.3
12/11/2023 13:00,8.1
12/11/2023 14:00,7.9
12/11/2023 15:00,7.6
12/11/2023 16:00,7.1
12/11/2023 17:00,6.9
12/11/2023 18:00,6.8
12/11/2023 19:00,7.2
12/11/2023 20:00,7.3
12/11/2023 21:00,7.1
12/11/2023 22:00,6.6
12/11/2023 23:00,6.3
12/12/2023 0:00,6
12/12/2023 1:00,5.8
12/12/2023 2:00,5.6
12/12/2023 3:00,5.7
12/12/2023 4:00,5.7
12/12/2023 5:00,5.8
12/12/2023 6:00,6.3
12/12/2023 7:00,7.1
12/12/2023 8:00,7.3
12/12/2023 9:00,7.7
12/12/2023 10:00,7.9
12/12/2023 11:00,7.9
12/12/2023 12:00,8
12/12/2023 13:00,7.9
12/12/2023 14:00,7.5
12/12/2023 15:00,7.4
12/12/2023 16:00,7.1
12/12/2023 17:00,7.2
12/12/2023 18:00,7.1
12/12/2023 19:00,7.6
12/12/2023 20:00,7.6
12/12/2023 21:00,7.7
12/12/2023 22:00,7.1
12/12/2023 23:00,6.7
12/13/2023 0:00,6.2
12/13/2023 1:00,6
12/13/2023 2:00,5.8
12/13/2023 3:00,5.9
12/13/2023 4:00,5.8
12/13/2023 5:00,6.1
12/13/2023 6:00,6.5
12/13/2023 7:00,7.2
12/13/2023 8:00,7.5
12/13/2023 9:00,7.9
12/13/2023 10:00,8.1
12/13/2023 11:00,8.3
12/13/2023 12:00,8.3
12/13/2023 13:00,8.3
12/13/2023 14:00,8.1
12/13/2023 15:00,7.7
12/13/2023 16:00,7.5
12/13/2023 17:00,7.2
12/13/2023 18:00,7.2
12/13/2023 19:00,7.3
12/13/2023 20:00,7.6
12/13/2023 21:00,7.5
12/13/2023 22:00,7.4
12/13/2023 23:00,6.9
12/14/2023 0:00,6.4
12/14/2023 1:00,6.1
12/14/2023 2:00,5.8
12/14/2023 3:00,5.8
12/14/2023 4:00,5.8
12/14/2023 5:00,6
12/14/2023 6:00,6.7
12/14/2023 7:00,7.1
12/14/2023 8:00,7.5
12/14/2023 9:00,7.9
12/14/2023 10:00,7.9
12/14/2023 11:00,7.8
12/14/2023 12:00,8
12/14/2023 13:00,8.3
12/14/2023 14:00,8.5
12/14/2023 15:00,8.2
12/14/2023 16:00,7.9
12/14/2023 17:00,7.4
12/14/2023 18:00,7.2
12/14/2023 19:00,3.5
12/14/2023 20:00,3.5
12/14/2023 21:00,7.3
12/14/2023 22:00,7.1
12/14/2023 23:00,6.5
12/15/2023 0:00,5.9
12/15/2023 1:00,5.7
12/15/2023 2:00,5.8
12/15/2023 3:00,5.7
12/15/2023 4:00,6.1
12/15/2023 5:00,6.3
12/15/2023 6:00,7
12/15/2023 7:00,7
12/15/2023 8:00,7.1
12/15/2023 9:00,7.5
12/15/2023 10:00,7.6
